id;lang;name;description;reward_id
1;mobile Fish;Home Loan Account Table Computer;Trace;4
2;Metal deposit;Producer;Implementation Electronics Officer;7
3;Home Loan Account;web-readiness;Namibia;4
4;Gorgeous Frozen Pants;Common;Savings Account syndicate Planner;5
5;HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key;3
6;Bahamian Dollar Investment Account;Games Regional Digitized;copy convergence;3
7;Georgia Industrial;connect Markets Chief;capacitor archive;6
8;Aruba;software scale interactive;Louisiana Specialist Home Loan Account;3
9;scalable;Small;deliverables reinvent 24 hour;1
10;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;generating Highway Ergonomic;4
